Transcription,Layer A_dhrithi,Layer B_dhrithi,Target_dhrithi,Span_dhrithi,Confidence_dhrithi,Comments_dhrithi,Unnamed: 7,Layer A_lavanya,Layer B_lavanya,Target_lavanya,Span_lavanya,Confidence_lavanya,Comments_lavanya,Layer_A_Match,Layer_B_Match
"BIDEN: The only person on this stage that is a convicted felon is the man I'm looking at right now. And the fact of the matter is he is – what he's telling you is simply not true. The fact is that there was no effort on his part to stop what was going on up on Capitol Hill. And all those people, every one of those who were convicted deserves to be convicted. The idea that they didn't kill somebody, just went in and broke down doors, broke the windows, occupied offices, turned over desks, turned them over, statues, the idea that those people are patriots? Come on.","ANS,Q-RHET,CH","ATTR,PER, AF",,"ATTR,PER Start",1,,,"ANS, Q-RHET, CH","ATTR, PER, AF","ATTR, PER start",,1,,FALSE,TRUE
"When I asked him about first of two debates we had – debates we had the first time around, I said, will you denounce the Proud Boys. He said, no, I'll tell them stand by. The idea he's refusing – will you denounce these guys? Will you denounce the people we're talking about now? You denounce the people who attacked that Capitol? What are you going to do?","S-Inform,Q-RHET","ATTR,PER,  SE",,"ATTR,PER End",1,,,"S-Inform, Q-RHET","ATTR, PER, SE","ATTR, PER end",,1,,FALSE,FALSE
"TAPPER: I'm going to give you a – a minute, President Trump, for a follow-up question I have. After a jury convicted you of 34 felonies last month, you said if re-elected, you would, quote, ""have every right to go after,"" unquote, your political opponents. You just talked about members of the Select Committee on January 6th going to jail. Your main political opponent is standing on stage with you tonight.",TG,,,,1,,,TG,,,,1,,TRUE,FALSE
Can you clarify exactly what it means about you feeling you have every right to go after your political opponents?,Q-OQ,,,,1,,,Q-OQ,,,,1,,TRUE,FALSE
"TRUMP: Well, I said my retribution is going to be success. We're going to make this country successful again because right now it's a failing nation.",ANS,"AP,APAT",,,1,,,ANS,"AP, APAT",,,1,,TRUE,FALSE
"My retribution is going to be success. But when he talks about a convicted felon, his son is a convicted felon at a very high level. His son is convicted. Going to be convicted probably numerous other times.",S-Inform,"ATTR,PER,  AP",Biden,,1,,,S-Inform,"ATTR, PER, AP",Biden,,1,,TRUE,FALSE
"He should have been convicted before, but his Justice Department let the statute of limitations lapse on the most important things. But he could be a convicted felon as soon as he gets out of office.",S-Inform,"ATTR,PER, ",,,1,,,S-Inform,"ATTR, PER",,,1,,TRUE,FALSE
Joe could be a convicted felon with all of the things that he's done. He's done horrible things.,S,"ATTR,PER",Biden,,1,,,S,"ATTR, PER",Biden,,1,,TRUE,FALSE
"All of the death caused at the border, telling the Ukrainian people that, we're going to want a billion dollars or you change the prosecutor. Otherwise, you're not getting a billion dollars.",S,AF,,,1,,,S,AF,,,1,,TRUE,TRUE
"If I ever said that, that's quid pro quo. That – we're not going to do anything. We're not going to give you a billion dollars unless you change your prosecutor having to do with his son.",CH,ATTR,Biden,,1,,,CH,ATTR,Biden,,1,,TRUE,TRUE
This man is a criminal. This man – you're lucky. You're lucky. I did nothing wrong. We'd have a system that was rigged and disgusting. I did nothing wrong.,S,"AP,ATTR,  PER",Biden,,1,,,S,"ATTR, PER, AP",Biden,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"President Biden, you have said, I'm coming right to you, sir. You – well, you want to respond? Go ahead. I'll give you a minute to respond.","TG,IAFA",,,,1,,,"TG, IAFA",,,,1,,FALSE,FALSE
"BIDEN: The idea that I did anything wrong relative to what you're talking about is outrageous. It's simply a lie, number one.","ANS, DIS","ATTR,PER",Trump,,1,,,"ANS, DIS","ATTR, PER",Trump,"ATTR, PER start",1,,TRUE,FALSE
"Number two, the idea that you have a right to seek retribution against any American, just because you're a president, is wrong, is simply wrong. No president's ever spoken like that before. No president in our history has spoken like that before.",S,"AR,PER",Trump,,1,,,S,"ATTR, PER, PB",Trump,,1,,TRUE,FALSE
"Number three, the crimes that you are still charged with. And think of all the civil penalties you have. How many billions of dollars do you owe in civil penalties for molesting a woman in public, for doing a whole range of things, of having sex with a porn star on the night – and while your wife was pregnant?",S,"ATTR,PER,  PB",Trump,,1,,,"S, Q-RHET","ATTR, PER, PB",Trump,,1,,TRUE,FALSE
"I mean, what are you talking about? You have the morals of an alley cat.",S,"ATTR,PER",Trump,,1,,,"S, Q-RHET","ATTR, PER",Trump,"ATTR, PER end",1,,TRUE,FALSE
"TAPPER: Give you a minute, sir.",TG,,,,1,,,"TT, TG",,,,1,,TRUE,FALSE
"TRUMP: I didn't have sex with a porn star, number one.","S-Inform,DIS",AEX,,,1,,,"S-Inform, CH, DIS",AEX,,,1,,FALSE,TRUE
"Number two, that was a case that was started and moved. They moved a high-ranking official, a DOJ, into the Manhattan D.A.'s office to start that case. That case is going to be appealed in one.",S-Inform,PB,,,1,,,S-Inform,PB,,,1,,TRUE,TRUE
"We had a very terrible judge, horrible judge, Democrat. The prosecutor were all high-ranking Democrats appointed people and the – both the civil and a criminal.",S-Inform,ATTR,Opponent Group,,1,,,S-Inform,"ATTR, PB",Opponent trump,,1,,TRUE,TRUE
"He basically went after his political opponent because he thought it was going to damage me. But when the public found out about these cases, because they understand it better than he does, he has no idea what these cases are, but when he – they – when they found out about these cases, you know what they did? My poll numbers went up way up. You know that because you're reporting it. And we took in more money in the last two weeks than we've ever taken in the history of any campaign.",S-Inform,"ATTR,PB",,,1,,,S-Inform,"ATTR, PB, AEX",,,1,,TRUE,FALSE
I don't think any campaign has ever taken hundreds of millions of dollars came pouring in because the public knows it's a scam and it's a guy that's after his political opponent because he can't win fair and square.,S,"PER,AE",,,1,,,S,"PER, AE",Biden,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Trump.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"President Biden, you have said, quote, Donald Trump and his MAGA Republicans are determined to destroy American democracy. Do you believe that the tens of millions of Americans who are likely to vote for President Trump will be voting against American democracy?","TG,Q-OQ",,,,1,,,"TG, Q-OQ",,,,1,,FALSE,FALSE
"BIDEN: The more they know about what he's done, yes. The more they know about what he's done.",S,ATTR,Trump,ATTR Start,1,,,S,ATTR,Trump,ATTR START,1,,TRUE,TRUE
"And there's a lot more coming. He's got a lot of cases around the road coming around. He's got – he's got a whole range of issues he has to face. I don't know what the juries will do, but I do know – I do know he has a real problem.",S,"PER,ATTR",Trump,,1,,,S,"ATTR, PER",Trump,,1,,TRUE,FALSE
"And so the fact that – could you ever think you're hearing any president say that, I'm going to seek retribution? Do you ever hear any president say that, I thought it would write some good ideas?",Q-RHET,"PER,ATTR",,ATTR End,1,,,Q-RHET,"ATTR, PER, PB",Trump,ATTR END,1,,TRUE,FALSE
"What got me involved to run in the first place after my son had died, I decided – in Iraq – because of Iraq. I said, I wasn't going to run again, until I saw what happened in Charlottesville, Virginia. People coming out of the woods carrying swastikas on torches and singing the same anti-Semitic bile they sang back in Germany.",S,"PB,AE",,,1,,,S,"PB, AE",,,1,,TRUE,FALSE
"And what did – and the young woman got killed, they spoke to the mother. And she – they asked him, they said, what – well, what do you think of those people? The people who wanted to get killed, the ones who tried to stop it, and the ones who said, I think they're fine people on both sides.",S,AE,,,1,,,S,"AF, AE",,,1,,TRUE,TRUE
"What American president would ever say, Nazis coming out of fields, carrying torches, singing the same anti-Semitic bile, carrying swastikas, were fine people.",S,,,,1,,,S,AE,,,1,,TRUE,FALSE
"This is a guy who says Hitler's done some good things. I'd like to know what they are. The good things Hitler's done, that's what he said. This guy has no sense of American democracy.",S,"ATTR,PER",Trump,,1,,,S,"ATTR, PER",Trump,,1,,TRUE,FALSE
TAPPER: President Trump.,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
"TRUMP: Jake, both of you know that story has been totally wiped out because when you see the sentence, it said 100 percent exoneration on there. So he just keeps it going.",ANS,,,,1,,,ANS,"AEX, PB",Biden,,1,,TRUE,FALSE
He says he ran because of Charlottesville. He didn't run because of Charlottesville. He ran because it was his last chance at – he's not equipped to be president. You know it and I know it.,S,PER,Biden,,1,,,CH,"AE, AEX, ATTR, PER",Biden,,1,,FALSE,TRUE
It's ridiculous. We have a debate. We're trying to justify his presidency.,S,"ATTR,PER",Biden,,1,,,S,"ATTR, PER",Biden,,1,,TRUE,FALSE
"His presidency, his – without question, the worst president, the worst presidency in the history of our country. We shouldn't be having a debate about it. There's nothing to debate.",S,"ATTR,PER,  PB",Biden,,1,,,S,"ATTR, PER, PB",Biden,,1,,TRUE,FALSE
He made up the Charlottesville story and you'll see it's debunked all over the place. Every anchor has – every reasonable actor has debunked it.,S,"ATTR,PER",Biden,,1,,,S,"ATTR, PER",Biden,,1,,TRUE,FALSE
And just the other day it came out where it was fully debunked. It's a nonsense story. He knows that.,S,"ATTR,PER",Biden,,1,,,S,"ATTR, PER",Biden,,1,,TRUE,FALSE
And he didn't run because of Charlottesville. He used that as an excuse to run.,S,"ATTR,PER",Biden,,1,,,S,"ATTR, PER",Biden,,1,,TRUE,FALSE
TAPPER: President Biden?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
TAPPER: President Biden?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
TAPPER: President Biden?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
TAPPER: President Biden?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
BIDEN: And debunk. It happened. All you have to do is listen to what was said at the time.,ANS,ATTR,Trump,,1,,,ANS,ATTR,Trump,,1,,TRUE,TRUE
And the idea that somehow that's the only reason I ran. I ran because I was worried a guy like this guy can get elected.,S-Inform,"ATTR,PER,  GB",Trump,,1,,,S-Inform,"ATTR, GD",Trump,,1,,TRUE,FALSE
"If he thought they were good people coming out of that all – that for us, carrying those – those woods, carrying those torches, then he didn't deserve to be president, didn't deserve to be president at all.",S,"ATTR,AE,  PER",Trump,,1,,,S,"AE, ATTR, PER",Trump,,1,,TRUE,FALSE
"And the idea that he's talking about all of this being fabricated, we saw it with our own eyes. We saw what happened on January 6. We saw the people breaking to the windows. We saw people occupying there.",S,ATTR,Trump,,1,,,S,"ATTR, AE",Trump,,1,,TRUE,TRUE
"His own vice president – look, there's a reason why 40 of his 44 top cabinet officers refused endorsing this time. His vice president hasn't endorsed him this time.",S,"REB,PER",Trump,,1,,,S,"ATTR, PB",Trump,,1,,TRUE,FALSE
"So, why? Why? They know him well. They serve with them. Why are they not endorsing him?",Q-RHET,ATTR,Trump,,1,,,Q-RHET,ATTR,Trump,,1,,TRUE,TRUE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,"TT, THK",,,,1,,TRUE,FALSE
We're going to be right back with more from the CNN presidential debate.,MS,,,,1,,,MS,,,,1,,TRUE,FALSE
[commercial break],,,,,,,,,,,,1,,FALSE,FALSE
BASH: Welcome back to the CNN Presidential Debate live from Georgia.,GR,,,,1,,,GR,,,,1,,TRUE,FALSE
"Let's talk about persistent CHenges you both faced in your first terms, and you'd certainly face again in a second term. President Biden, while black unemployment dropped to a record low under your presidency, black families still earn far less than white families.","S-Inform ,Q-OQ",,,,1,,,S-Inform,,,,1,,FALSE,FALSE
Black mothers are still three times more likely to die for pregnancy related causes. And black Americans are imprisoned at five times the rate of white Americans. What do you say to black voters who are disappointed that you haven't made more progress?,Q-OQ,,,,1,,,Q-W,,,,1,,FALSE,FALSE
"BIDEN: They acknowledge he made a lot of progress, number one. The facts of the matter is more small black businesses that have been started in any time in history. Number two, the wages of black – black unemployment is the lowest level of spend in a long, long time. Number three, we find them – they're trying to provide housing for black Americans and dealing with segregation that exists among these corporate – these corporate operations that collude to keep people out of their houses.",ANS,"PB,CBIAS",,,1,,,ANS,"ATTR, PB",Trump,,1,,TRUE,FALSE
"And in addition to that, we find that the impact of, on the – the choice that black families have to make relative to childcare is incredibly difficult. When we did the first major piece of legislation in the past, I was able to reduce black childcare costs. I cut them in half, in half. We've got to make sure we provide for childcare costs. We've got to make sure – because when you provide that childcare protections, you increase economic growth because more people can be in the – in the job market.",S-Inform,,,,1,,,S-Inform,IT,,,1,,FALSE,FALSE
"So there's more to be done, considerably more to be done, but we've done a great deal so far and I'm not letting up and they know it.",S,AP,,,1,,,S-Inform,AP,,,1,,FALSE,TRUE
BASH: You have 49 seconds left. What do you say to black voters who are disappointed with the progress so far?,Q-OQ,,,,1,,,"TG, Q-W",,,,1,,FALSE,FALSE
"BIDEN: I say, I don't blame them for being disappointed. Inflation is still hurting them badly. For example, I provided for the idea that any black family, first time home buyer should get a $10,000 tax credit to be able to buy their first home so they can get started.",S,"AE,CB,",,,1,,,ANS,"AE, AP, IT",,AE start,1,,FALSE,FALSE
"I made sure that we're in a situation where all those black families and those black individuals who provided had to take out student loans that were ballooning, that if they were engaged in nursing and anything having to do with volunteerism, if they paid their bills for 10 years on their student debt, all the rest was forgiven after 10 years. Millions have benefited from that and we're going to do a whole lot more for black families.",S,"AP,PB,AE",,,1,,,S,"AE, IP",,AE end,1,,TRUE,FALSE
BASH: Thank you. President Trump?,THK,,,,1,,,"THK, TG",,,,1,,TRUE,FALSE
"TRUMP: And he caused the inflation. He's blaming inflation. And he's right, it's been very bad. He caused the inflation and it's killing black families and Hispanic families and just about everybody. It's killing people. They can't buy groceries anymore. They can't.","CH,S","ATTR,PER,  REB",Biden,,1,,,ANS,"ATTR, AEX, AF, PER",Biden,"ATTR, PER start",1,,FALSE,FALSE
You look at the cost of food where it's doubled and tripled and quadrupled. They can't live. They're not living anymore. He caused this inflation.,S,"ATTR,PER,  ",Biden,,1,,,S,"ATTR, AF, PER",Biden,,1,,TRUE,FALSE
"I gave him a country with no, essentially no inflation. It was perfect. It was so good. All he had to do is leave it alone. He destroyed it with his green news scam and all of the other – all this money that's being thrown out the window.",S,"AP,ATTR,  PER",Biden,,1,,,S,"AP, ATTR, PER, IT",Biden,,1,,TRUE,FALSE
"He caused inflation. As sure as you're sitting there, the fact is that his big kill on the black people is the millions of people that he's allowed to come in through the border. They're taking black jobs now and it could be 18. It could be 19 and even 20 million people. They're taking black jobs and they're taking Hispanic jobs and you haven't seen it yet, but you're going to see something that's going to be the worst in our history.","S,EXPL","AF,PER,  ATTR",Biden,,1,,,S,"ATTR, AF, PER",,"ATTR, PER end",1,,FALSE,FALSE
BASH: Thank you. President Biden?,THK,,,,1,,,"THK, TG",,,,1,,TRUE,FALSE
"BIDEN: There was no inflation when I became president. You know why? The economy was flat on its back. 15% unemployment, he decimated the economy, absolutely decimated the economy. That's why there was no inflation at the time.",ANS,ATTR,Trump,,1,,,"ANS, CH","ATTR, PB, IT",Trump,,1,,TRUE,TRUE
"There were no jobs. We provided thousands of millions of jobs for individuals who were involved communities, including minority communities. We made sure that they have health insurance. We have covered with the ACA has increased. I made sure that they're $8,000 per person in the family to get written off in health care, but this guy wants to eliminate that. They tried 50 times. He wants to get rid of the ACA again, and they're going to try again if they win.",S,"PER,ATTR",Trump,,1,,,S-Inform,"AP, IT, ATTR, PER",Trump,"AP, IT, ATTR, PER start",1,,FALSE,FALSE
"We find ourselves in a position where the idea that we're not doing any – I put more – we put more police on the street than any administration has. He wants to cut the cops. We're providing for equity, equity, and making sure people have a shot to make it. There is a lot going on. But, on inflation, he caused it by his tremendous amount of seasons in the way he handled the pandemic.",S,"ATTR,AP",Trump,,1,,,S-Inform,"AP, IT, ATTR, PER",Trump,"AP, IT, ATTR, PER end",1,,FALSE,FALSE
"BASH: Thank you. Another persistent CHenge is the climate crisis. 2023 was the hottest year in recorded history, and communities across the country are confronting the devastating effects of extreme heat, intensifying wildfires, stronger hurricanes, and rising sea levels.",S-Inform,,,,1,,,"THK, S-Inform",,,,1,,TRUE,FALSE
"Former President Trump, you've vowed to end your opponent's climate initiatives. But, will you take any action as President to slow the climate crisis?",Q-OQ,,,,1,,,"TG, Q-OQ",,,,1,,TRUE,FALSE
"TRUMP: Well, let me just go back to what he said about the police, how close the police are to him. Almost every police group in the nation from every state is supporting Donald J. Trump, almost every police group. And what he has done to the black population is horrible, including the fact that for 10 years he called them super predators. We can't, in the 1990s (ph), we can't forget that. Super predators was his name. And he called it to them for 10, and they've taken great offense at it, and now they see it happening.","S ,DIS","AP,ATTR,",Biden,,1,,,ANS,"ATTR, PER, AP, AE, PB",Biden,,1,,FALSE,FALSE
"But, when they see what I did for criminal justice reform and for the historically black colleges and universities, where I funded them and got them all funded, and the opportunity zones with Tim. As you know, Tim Scott was – incredibly did a great job, a great Senator from South Carolina. He came to me with the idea and it was a great idea. It's one of the most successful economic development acts ever in the country, opportunity zones. And the biggest beneficiary are blacks. And that's why we have the best numbers with them. And maybe ever, if they're saying ever, I read this morning, wherever, the best numbers, he has lost much of the black population because he has done a horrible job for black people. He has also done a horrible job for Hispanics.",S,"AP,ATTR,    PER,AF",Biden,,1,,,S-Inform,"AP, IT",,,1,,FALSE,FALSE
"But, why do you see these millions of people pouring into our country and they're going to take the jobs? And it's already started. And you haven't seen anything yet. It's a disaster.",S,,,,1,,,Q-RHET,"AE, ATTR",Biden,,1,,FALSE,FALSE
"BASH: 38 seconds left, President Trump. Will you take any action as President to slow the climate crisis?","TT,Q-OQ",,,,1,,,"TT, TG",,,,1,,FALSE,FALSE
"TRUMP: So, I want absolutely immaculate clean water and I want absolutely clean air, and we had it. We had H2O. We had the best numbers ever. And we did – we were using all forms of energy, all forms, everything. And yet, during my four years, I had the best environmental numbers ever. And my top environmental people gave me that statistic just before I walked on the stage, actually.",ANS,AP,,,1,,,S-Inform,AP,,,1,,FALSE,TRUE
"BIDEN: I don't know where the hell he has been. The idea that, Dana, he said is true. I've passed the most extensive, it was the extensive climate change legislation in history, in history. We find ourselves – and by the way, black colleges, I came up with $50 billion for HBCUs, historic black universities and colleges, because they don't have the kind of contributors that they have to build these laboratories and the like. Any black student is capable in college in doing any white student can do. They just have the money. But now, they'll be able to get those jobs in high tech.",S,"ATTR,PER, AP,",Trump,,1,,,CH,"ATTR, PER, AEX, PB",Trump,,1,,FALSE,FALSE
"We're in a situation where the idea that he kind of is claiming to have done something that had the cleanest water, the cleanest water? He had not done a damn thing with the environment. He – out of the Paris Peace Accord – Climate Accord, I immediately joined it, because if we reach for 1.5 degrees Celsius at any one point, well, there is no way back. The only existential threat to humanity is climate change. And he didn't do a damn thing about it. He wants to undo all that I've done.",Q-RHET,"AP,ATTR,   PER,AF",Trump,,1,,,Q-RHET,"ATTR, PER, AEX, PB",Trump,,1,,TRUE,FALSE
"TRUMP: The Paris Accord was going to cost us a trillion dollars, and China nothing, and Russia nothing, and India nothing. It was a rip off of the United States. And I ended it because I didn't want to waste that money because they treat us horribly. We were the only ones who was costing us money. Nobody else was paying into it. And it was a disaster.",CH,"REB,AEX,PB",Biden,,1,,,CH,"REB, AEX, PB",Biden,,1,,TRUE,FALSE
"But, everything that he said just now, I'll give you an example. I heard him say before insulin, I'm the one that got the insulin down for the seniors. I took care of the seniors. What he is doing is destroying all of our medical programs because the migrants coming in. They want everybody. And look, I have the biggest heart on the stage. I guarantee you that. And I want to take care of people. But, we're destroying our country. They're taking over our schools, our hospitals, and they're going to be taking over Social Security. He is destroying Social Security, Medicare and Medicaid.",S,"ATTR,PER,   AP,AE,AF",Biden,,1,,,S-Inform,"SE, AP, AEX, PB",Biden,,1,,FALSE,FALSE
"BIDEN: Where does that come from? The idea is that we, in fact – we were the only ones of consequence or not. We're not members of the Paris Accord. How can we do anything we're not able to, the United States can't get this under control? One of the largest polluters in the world. Number one, we're making significant progress. By 2035, we will have cut pollution in half.",S-Inform,AP,,,1,,,"Q-RHET, EXPL","AP, AEX, REB",Trump,,1,,FALSE,TRUE
We have – we have made significant progress. And we're continuing to make progress.,CH,,,,1,,,S-Inform,"AP, IP",,,1,,FALSE,FALSE
"We set up a Climate Corps for thousands of young people will learn how to deal with climate, just like the Peace Corps. And we're going to – we're moving in directions that are going to significantly change the elements of the cause of pollution.","ANS,S",,,,1,,,S-Inform,"PB, IT",,,1,,FALSE,FALSE
"But the idea that he claims that he has the biggest heart up here and he's really concerned about – about pollution and about climate, I've not seen any indication of that.",CH,"ATTR,PER",Trump,,1,,,S,"ATTR, AEX, PER",Trump,,1,,FALSE,FALSE
"And, by the way, with regard to prescription drugs, one company agreed that they would reduce the price to $35, which I was calling for – one, voluntarily. I made sure every company in the world, every pharmaceutical company, cannot have to pay.",S,AP,,,1,,,S-Inform,IT,,,1,,FALSE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
BASH: Thank you.,THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"BIDEN: And, by the way…","INT ,MS",,,,1,,,MS,,,,1,,FALSE,FALSE
"TAPPER: So every day millions of Americans struggle just to make ends meet. For many older Americans, Social Security provides a critical lifeline.",S-Inform,,,,1,,,S,,,,1,,FALSE,FALSE
"President Biden, if nothing is done to Social Security, seniors will see their benefits cut in just over 10 years. Will you name tonight one specific step that you're willing to take to keep Social Security solvent?",Q-OQ,,,,1,,,Q-OQ,,,,1,,TRUE,FALSE
"BIDEN: Yes, make the very wealthy begin to pay their fair share. Right now, everybody making under $170,000 pays 6 percent of their income, of their paycheck, every single time they get a paycheck, from the time of the first one they get when they're 18 years old.","TA,S",,,,1,,,ANS,"PB, AE",,,1,,FALSE,FALSE
"The idea that they're going to – I'm not – I've been proposing that everybody, they pay – millionaires pay 1 percent – 1 percent. So no one after – I would not raise the cost of Social Security for anybody under $400,000. After that, I begin to make the wealthy begin to pay their fair share, by increasing from 1 percent beyond, to be able to guarantee the program for life.",S,,,,1,,,S-Inform,"AP, PB, AE",,,1,,FALSE,FALSE
"TAPPER: So you still have 82 seconds left. Are there any other measures that you think that would be able to help keep Social Security solvent, or is just – is that one enough?","TT,Q-OQ",,,,1,,,Q-OQ,,,,1,,FALSE,FALSE
"BIDEN: Well, that one enough will keep it solvent. But the biggest thing I'll do, if we defeat this man, because he wants to get rid of Social Security; he thinks that there's plenty to cut in Social Security. He's wanting to cut Social Security and Medicare, both times. And that's with – and if you look at the program put forward by the House Republican Caucus that he, I believe, supports, is in fact wanting to cut it as well.",CH,"PER,AF,",Trump,,1,,,ANS,"AP, IP, ATTR, PER",Trump,,1,,FALSE,FALSE
"The idea that we don't need to protect our seniors is ridiculous. We put – and, by the way, the American public has greater health care coverage today than ever before. And under the ACA, as I said, you're in a circumstance where 400,000 people – I mean, 40 million people – would not have insurance because they have a pre-existing condition. The only thing that allows them to have that insurance is the fact that they in fact are part of the ACA.",S-Inform,,,,1,,,S-Inform,"APAT, IT, AP",,,1,,TRUE,FALSE
"And, by the way, the other thing is we're in a situation where I talk about education for black communities. I've raised the number, the amount of money for Pell grants by other $8,000 for anybody making under $70,000 a year, are going to be able to get $15,000 towards their tuition.",S-Inform,,,,1,,,S-Inform,AP,,,1,,TRUE,FALSE
It's just – he – he just doesn't know what he's talking about.,S,"REB,PER",Trump,,1,,,S,ATTR,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,THK,,,,1,,TRUE,FALSE
"TAPPER: Thank you, President Biden.",THK,,,,1,,,"TT, THK",,,,1,,TRUE,FALSE
President Trump?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
President Trump?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
President Trump?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
"TRUMP: So I've dealt with politicians all my life. I've been on this side of the equation for the last eight years. I've never seen anybody lie like this guy. He lies – I've never seen it. He could look you in the face. So – and about so many other things, too.",CH,PER,Biden,,1,,,ANS,"IT, PER, AE",Biden,,1,,FALSE,TRUE
"And we mentioned the laptop, We mentioned ""Russia, Russia, Russia,"" ""Ukraine, Ukraine, Ukraine."" And everything he does is a lie. It's misinformation and disinformation. The ""losers and suckers"" story that he made up is a total lie on the military. It's a disgrace.",Q-RHET,,,,1,,,S,"PER, PB, ATTR, AE",Biden,"PER, PB, ATTR, AE start",1,,FALSE,FALSE
"But Social Security, he's destroying it. Because millions of people are pouring into our country, and they're putting them on to Social Security; they're putting them on to Medicare, Medicaid. They're putting them in our hospitals. They're taking the place of our citizens.",S,"ATTR,PER",Biden,,1,,,S,"PER, PB, ATTR, AE",Opponent group,"PER, PB, ATTR, AE end",1,,TRUE,FALSE
"They're – what they're doing to the V.A., to our veterans, is unbelievable. Our veterans are living in the street and these people are living in luxury hotels. He doesn't know what he's doing. And it – it's really coming back. I've never seen such anger in our country before.",CH,"ATTR,PER",Biden,,1,,,S,"AF, AE, ATTR, PB",Opponent group,,1,,FALSE,FALSE
TAPPER: President Biden?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
TAPPER: President Biden?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
TAPPER: President Biden?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
TAPPER: President Biden?,TG,,,,1,,,TG,,,,1,,TRUE,FALSE
"BIDEN: The idea that veterans are not being taken care of, I told you before – and, by the way, when I said ""suckers and losers,"" he said – he acknowledged after it that he fired that general. That general got fired because he's the one that acknowledged that that's what he said. He was the one standing with Trump when he said it, number one.",ANS,PER,Trump,,1,,,ANS,"PER, PB, ATTR",Trump,,1,,TRUE,TRUE
"Number two, the idea that we're going to be in a situation where all these millions and millions, the way he talks about it, illegal aliens are coming into the country and taking away our jobs, there's a reason why we have the fastest-growing economy in the world, a reason why we have the most successful economy in the world. We're doing better than any other nation in the world.",ANS,AP,,,1,,,S-Inform,"PER, PB, ATTR, AE, APAT",Trump,,1,,FALSE,FALSE
"And, by the way, those 15 Nobel laureates, economists, they all said that if Trump is re-elected, we're likely to have a recession, and inflation is going to increasingly go up.",S,"ATTR,PER",Trump,,1,,,"S-Inform, S","PER, PB",Trump,"PER, PB start",1,,TRUE,FALSE
"And by the way, worst president in history. 159 presidential scholars voted him the worst president in the history of the United States of America.",S-Inform,PER,Trump,,1,,,"S, S-Inform","PER, PB",Trump,"PER, PB end",1,,TRUE,TRUE
"TAPPER: President Biden, thank you so much. Let's turn to the cost of childcare, which many American families struggle to afford.","TT,THK",,,,1,,,"THK, S",,,,1,,FALSE,FALSE
